Kode,Nama Emiten,Tanggal IPO,Tahun,Kode_YFinance
IKAN,PT Era Mandiri Cemerlang Tbk,2020-02-12,2020,IKAN.JK
AYLS,PT Agro Yasa Lestari Tbk,2020-02-12,2020,AYLS.JK
DADA,PT Diamond Citra Propertindo Tbk.,2020-02-14,2020,DADA.JK
ASPI,PT Andalan Sakti Primaindo Tbk.,2020-02-17,2020,ASPI.JK
ESTA,PT Esta Multi Usaha Tbk.,2020-03-09,2020,ESTA.JK
BESS,PT Batulicin Nusantara Maritim Tbk.,2020-03-09,2020,BESS.JK
AMAN,PT Makmur Berkah Amanda Tbk.,2020-03-13,2020,AMAN.JK
CARE,PT Metro Healthcare Indonesia Tbk,2020-03-13,2020,CARE.JK
SAMF,PT Saraswanti Anugerah Makmur Tbk.,2020-03-31,2020,SAMF.JK
SBAT,PT Sejahtera Bintang Abadi Textile Tbk.,2020-04-08,2020,SBAT.JK
KBAG,PT Karya Bersama Anugerah Tbk,2020-04-08,2020,KBAG.JK
CBMF,PT Cahaya Bintang Medan Tbk,2020-04-09,2020,CBMF.JK
CSMI,PT Cipta Selera Murni Tbk.,2020-04-09,2020,CSMI.JK
RONY,PT Aesler Grup Internasional Tbk,2020-04-09,2020,RONY.JK
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,2020-04-15,2020,BBSS.JK
BHAT,PT Bhakti Multi Artha Tbk.,2020-04-15,2020,BHAT.JK
CASH,PT Cashlez Worldwide Indonesia Tbk.,2020-05-04,2020,CASH.JK
TECH,PT Indosterling Technomedia Tbk,2020-06-04,2020,TECH.JK
EPAC,PT Megalestari Epack Sentosaraya Tbk.,2020-07-01,2020,EPAC.JK
UANG,PT Pakuan Tbk,2020-07-06,2020,UANG.JK
PGUN,PT Pradiksi Gunatama Tbk,2020-07-07,2020,PGUN.JK
SOFA,PT Boston Furniture Industries Tbk..,2020-07-07,2020,SOFA.JK
PPGL,PT Prima Globalindo Logistik Tbk.,2020-07-20,2020,PPGL.JK
TOYS,PT Sunindo Adipersada Tbk.,2020-08-06,2020,TOYS.JK
SGER,PT Sumber Global Energy Tbk.,2020-08-10,2020,SGER.JK
TRJA,PT Transkon Jaya Tbk.,2020-08-27,2020,TRJA.JK
PNGO,PT Pinago Utama Tbk,2020-08-31,2020,PNGO.JK
SCNP,PT Selaras Citra Nusantara Perkasa Tbk,2020-09-07,2020,SCNP.JK
BBSI,PT Bank Bisnis Internasional Tbk.,2020-09-07,2020,BBSI.JK
KMDS,PT Kurniamitra Duta Sentosa Tbk.,2020-09-07,2020,KMDS.JK
PURI,PT Puri Global Sukses Tbk,2020-09-08,2020,PURI.JK
SOHO,PT Soho Global Health Tbk,2020-09-08,2020,SOHO.JK
HOMI,PT Grand House Mulia Tbk,2020-09-10,2020,HOMI.JK
ROCK,PT Rockfields Properti Indonesia Tbk.,2020-09-10,2020,ROCK.JK
ENZO,PT Morenzo Abadi Perkasa Tbk,2020-09-14,2020,ENZO.JK
PLAN,PT Planet Properindo Jaya Tbk,2020-09-15,2020,PLAN.JK
PTDU,PT Djasa Ubersakti Tbk,2020-12-08,2020,PTDU.JK
ATAP,PT Trimitra Prawara Goldland Tbk,2020-12-11,2020,ATAP.JK
VICI,PT Victoria Care Indonesia Tbk,2020-12-17,2020,VICI.JK
PMMP,PT Panca Mitra Multiperdana Tbk.,2020-12-18,2020,PMMP.JK
WIFI,PT Solusi Sinergi Digital Tbk,2020-12-30,2020,WIFI.JK
FAPA,PT FAP Agri Tbk,2021-01-04,2021,FAPA.JK
DGNS,PT Diagnos Laboratorium Utama Tbk,2021-01-15,2021,DGNS.JK
BANK,PT Bank Aladin Syariah Tbk,2021-02-01,2021,BANK.JK
UFOE,PT Damai Sejahtera Abadi Tbk,2021-02-01,2021,UFOE.JK
WMUU,PT Widodo Makmur Unggas Tbk,2021-02-02,2021,WMUU.JK
EDGE,PT Indointernet Tbk.,2021-02-08,2021,EDGE.JK
UNIQ,PT Ulima Nitra Tbk,2021-03-08,2021,UNIQ.JK
BEBS,PT Berkah Beton Sadaya Tbk,2021-03-10,2021,BEBS.JK
SNLK,PT Sunter Lakeside Hotel Tbk.,2021-03-29,2021,SNLK.JK
ZYRX,PT Zyrexindo Mandiri Buana Tbk,2021-03-30,2021,ZYRX.JK
LFLO,PT Imago Mulia Persada Tbk,2021-04-07,2021,LFLO.JK
FIMP,PT Fimperkasa Utama Tbk,2021-04-09,2021,FIMP.JK
TAPG,PT Triputra Agro Persada Tbk.,2021-04-12,2021,TAPG.JK
NPGF,PT Nusa Palapa Gemilang Tbk,2021-04-14,2021,NPGF.JK
LUCY,PT Lima Dua Lima Tiga Tbk,2021-05-05,2021,LUCY.JK
HOPE,PT Harapan Duta Pertiwi Tbk.,2021-05-24,2021,HOPE.JK
MGLV,PT Panca Anugrah Wisesa Tbk,2021-06-08,2021,MGLV.JK
LABA,PT Green Power Group Tbk,2021-06-10,2021,LABA.JK
TRUE,PT Triniti Dinamik Tbk,2021-06-10,2021,TRUE.JK
ARCI,PT Archi Indonesia Tbk,2021-06-28,2021,ARCI.JK
IPAC,PT Era Graharealty Tbk,2021-06-30,2021,IPAC.JK
MASB,PT Bank Multiarta Sentosa Tbk,2021-06-30,2021,MASB.JK
BMHS,PT Bundamedik Tbk,2021-07-06,2021,BMHS.JK
FLMC,PT Falmaco Nonwoven Industri Tbk,2021-07-08,2021,FLMC.JK
NICL,PT PAM Mineral Tbk,2021-07-09,2021,NICL.JK
UVCR,PT Trimegah Karya Pratama Tbk.,2021-07-27,2021,UVCR.JK
BUKA,PT Bukalapak.com Tbk,2021-08-06,2021,BUKA.JK
HAIS,PT Hasnur Internasional Shipping Tbk,2021-09-01,2021,HAIS.JK
GPSO,PT Geoprima Solusi Tbk,2021-09-06,2021,GPSO.JK
OILS,PT Indo Oil Perkasa Tbk,2021-09-06,2021,OILS.JK
MCOL,PT Prima Andalan Mandiri Tbk,2021-09-07,2021,MCOL.JK
CMNT,PT Cemindo Gemilang Tbk,2021-09-08,2021,CMNT.JK
GTSI,PT GTS Internasional Tbk,2021-09-08,2021,GTSI.JK
RSGK,PT Kedoya Adyaraya Tbk,2021-09-08,2021,RSGK.JK
RUNS,PT Global Sukses Solusi Tbk,2021-09-08,2021,RUNS.JK
SBMA,PT Surya Biru Murni Acetylene Tbk,2021-09-08,2021,SBMA.JK
IDEA,PT Idea Indonesia Akademi Tbk,2021-09-09,2021,IDEA.JK
KUAS,PT Ace Oldfields Tbk,2021-10-25,2021,KUAS.JK
BOBA,PT Formosa Ingredient Factory Tbk,2021-11-01,2021,BOBA.JK
BINO,PT Perma Plasindo Tbk,2021-11-25,2021,BINO.JK
DEPO,PT Caturkarda Depo Bangunan Tbk,2021-11-25,2021,DEPO.JK
CMRY,PT Cisarua Mountain Dairy Tbk,2021-12-06,2021,CMRY.JK
TAYS,PT Jaya Swarasa Agung Tbk,2021-12-06,2021,TAYS.JK
WGSH,PT Wira Global Solusi Tbk,2021-12-06,2021,WGSH.JK
WMPP,PT Widodo Makmur Perkasa Tbk,2021-12-06,2021,WMPP.JK
RMKE,PT RMK Energy Tbk,2021-12-07,2021,RMKE.JK
