Kode,Nama Emiten,Tanggal IPO,Tahun,Kode_YFinance
SOLA,PT Xolare RCR Energy Tbk,2024-05-08,2024,SOLA.JK
BATR,PT Benteng Api Technic Tbk,2024-06-10,2024,BATR.JK
SPRE,PT Soraya Berjaya Indonesia Tbk,2024-07-03,2024,SPRE.JK
PART,PT Cipta Perdana Lancar Tbk,2024-07-05,2024,PART.JK
GOLF,PT Intra GolfLink Resorts Tbk,2024-07-08,2024,GOLF.JK
ISEA,PT Indo American Seafoods Tbk,2024-07-08,2024,ISEA.JK
BLES,PT Superior Prima Sukses Tbk,2024-07-08,2024,BLES.JK
GUNA,PT Gunanusa Eramandiri Tbk,2024-07-09,2024,GUNA.JK
LABS,PT UBC Medical Indonesia Tbk,2024-07-10,2024,LABS.JK
DOSS,PT Global Sukses Digital Tbk,2024-08-07,2024,DOSS.JK
NEST,PT Esta Indonesia Tbk,2024-08-08,2024,NEST.JK
PTMR,PT Master Print Tbk,2024-10-08,2024,PTMR.JK
VERN,PT Verona Indah Pictures Tbk,2024-10-08,2024,VERN.JK
DAAZ,PT Daaz Bara Lestari Tbk,2024-11-11,2024,DAAZ.JK
BOAT,PT Newport Marine Services Tbk,2024-11-12,2024,BOAT.JK
NAIK,PT Adiwarna Anugerah Abadi Tbk,2024-11-13,2024,NAIK.JK
AADI,PT Adaro Andalan Indonesia Tbk,2024-12-05,2024,AADI.JK
MDIY,PT Daya Intiguna Yasa Tbk,2024-12-19,2024,MDIY.JK
YOII,PT Asuransi Digital Bersama Tbk,2025-01-08,2025,YOII.JK
KSIX,PT Kentanix Supra International Tbk,2025-01-08,2025,KSIX.JK
RATU,PT Raharja Energi Cepu Tbk,2025-01-08,2025,RATU.JK
MINE,PT Sinar Terang Mandiri Tbk,2025-02-10,2025,MINE.JK
OBAT,PT Obat Herbal Alami Tbk,2025-03-12,2025,OBAT.JK
YUPI,PT Yupi Indo Jelly Gum Tbk,2025-03-25,2025,YUPI.JK
DGWG,PT Dunia Gula Wisesa Tbk,2025-05-20,2025,DGWG.JK
EMAS,PT Emas Mulia Abadi Tbk,2025-06-15,2025,EMAS.JK
JECX,PT Jantra Eka Cemerlang Tbk,2025-07-07,2025,JECX.JK
JELI,PT Panca Anugrah Wisesa - INACO,2025-07-08,2025,JELI.JK
CDIA,PT Chandra Daya Investasi Tbk,2025-07-09,2025,CDIA.JK
COIN,PT Indokripto Koin Semesta Tbk,2025-07-09,2025,COIN.JK
RANS,PT RANS Entertainment Indonesia Tbk,2026-07-10,2026,RANS.JK
PJHB,PT Pelayaran Jaya Hidup Bersama Tbk,2026-07-15,2026,PJHB.JK
