ticker,observed_date,period_end,per,pbv,roe,der,current_ratio,revenue_growth,source
TPIA.JK,2025-03-18,2024-12-31,,10.87,-2.6,1.03,3.02,-17.34,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-03-18 (IDR) + FX USDIDR=X@2025-03-18; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of TPIA' (news_id=460498), published Tuesday March 18, 2025 14:00 WIB"
TPIA.JK,2025-04-30,2025-03-31,,15.8,-0.98,1.15,7.02,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-04-30 (IDR) + FX USDIDR=X@2025-04-30; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of TPIA' (news_id=463431), published Wednesday April 30, 2025 19:15 WIB"
TPIA.JK,2025-08-01,2025-06-30,39.58,13.01,32.86,1.42,3.37,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-08-01 (IDR) + FX USDIDR=X@2025-07-31; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of TPIA' (news_id=470710), published Friday August 01, 2025 10:08 WIB"
ANTM.JK,2025-04-09,2024-12-31,9.72,1.13,11.59,0.39,1.84,68.57,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-04-09 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of ANTM' (news_id=461648), published Wednesday April 09, 2025 14:55 WIB"
ANTM.JK,2025-04-30,2025-03-31,24.47,1.55,6.33,0.41,1.93,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-04-30 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of ANTM' (news_id=463451), published Wednesday April 30, 2025 20:33 WIB"
