date,broker_code,broker_name,volume,value,frequency
2026-08-28,XL,Stockbit Sekuritas Digital,12633867432,4524781039766,1293011
2026-08-28,AK,UBS Sekuritas Indonesia,4103645488,2994164252020,255990
2026-08-28,CC,MANDIRI SEKURITAS,4690477200,2751091761400,336855
2026-08-28,ZP,Maybank Sekuritas Indonesia,10580153918,1736730566856,95277
2026-08-28,YP,Mirae Asset Sekuritas Indonesia,3720669396,1613880318800,248872
2026-08-28,PD,Indo Premier Sekuritas,2048452478,1416264023100,165375
2026-08-28,MG,Semesta Indovest Sekuritas,4470012600,1238825482400,133650
2026-08-28,XC,Ajaib Sekuritas Asia,2522997200,1121110061800,249095
2026-08-28,YU,CGS International Sekuritas Indonesia,2955135238,1020638563910,62267
2026-08-28,CP,KB Valbury Sekuritas,2836952477,927865457617,126087
2026-08-28,BK,J.P. Morgan Sekuritas Indonesia,724089084,911028997420,61025
2026-08-28,SQ,BCA Sekuritas,992692364,628723205300,61000
2026-08-28,AZ,Sucor Sekuritas,1861881700,628281155300,54182
2026-08-28,LG,Trimegah Sekuritas Indonesia Tbk.,1063270722,601181136600,39600
2026-08-28,OD,BRI Danareksa Sekuritas,950367000,566921397700,68980
2026-08-28,NI,BNI Sekuritas,809832000,547043213600,75239
2026-08-28,RX,Macquarie Sekuritas Indonesia,125769400,463498210000,11961
2026-08-28,BB,Verdhana Sekuritas Indonesia,187699322,445140119660,23027
2026-08-28,KK,Phillip Sekuritas Indonesia,960903700,385869989800,65093
2026-08-28,IF,SAMUEL SEKURITAS INDONESIA,543625800,384998837100,11442
2026-08-28,HD,KGI Sekuritas Indonesia,857784200,381772067500,42529
2026-08-28,DH,SINARMAS SEKURITAS,312619796,378125830100,17132
2026-08-28,GR,PANIN SEKURITAS Tbk.,805637200,371907348300,38532
2026-08-28,BQ,Korea Investment and Sekuritas Indonesia,789921300,275009744300,51178
2026-08-28,AI,Kay Hian Sekuritas,660693592,269147578812,16241
2026-08-28,KI,Ciptadana Sekuritas Asia,443691332,268897941100,17394
2026-08-28,XA,NH Korindo Sekuritas Indonesia,659318000,265074612300,35490
2026-08-28,KZ,CLSA Sekuritas Indonesia,271450300,263168383900,26646
2026-08-28,DR,RHB Sekuritas Indonesia,564165468,257041651540,43121
2026-08-28,EP,MNC Sekuritas,686426934,236819099370,52414
2026-08-28,YB,Yakin Bertumbuh Sekuritas,565790000,206856813600,33277
2026-08-28,DX,Bahana Sekuritas,148273200,202530240100,11527
2026-08-28,YJ,Lotus Andalan Sekuritas,616162500,194959602000,14489
2026-08-28,TP,OCBC Sekuritas Indonesia,670273400,187107993100,15424
2026-08-28,HP,Henan Putihrai Sekuritas,289954550,156162830350,12232
2026-08-28,AO,ERDIKHA ELIT SEKURITAS,297735300,155207277800,10489
2026-08-28,RF,Buana Capital Sekuritas,137774100,137874195300,6754
2026-08-28,AG,Kiwoom Sekuritas Indonesia,294734200,137483336300,13188
2026-08-28,AT,Phintraco Sekuritas,190658300,91932012200,12608
2026-08-28,CD,Mega Capital Sekuritas,109962100,87936411500,2792
2026-08-28,FZ,Waterfront Sekuritas Indonesia,351568600,73879491900,6384
2026-08-28,BR,Trust Sekuritas,303190977,71516006617,17397
2026-08-28,SS,Supra Sekuritas Indonesia,115698000,70398801500,1656
2026-08-28,RO,Pluang Maju Sekuritas,145442000,62433495800,10481
2026-08-28,LS,Reliance Sekuritas Indonesia Tbk.,88995900,43114549500,6671
2026-08-28,SH,Artha Sekuritas Indonesia,94932200,42729347200,3065
2026-08-28,IN,INVESTINDO NUSANTARA SEKURITA,120098300,37263624700,3686
2026-08-28,DP,DBS Vickers Sekuritas Indonesia,101468000,36444832900,3906
2026-08-28,IH,Indo Harvest Sekuritas,80219600,33791318300,6379
2026-08-28,FS,Yuanta Sekuritas Indonesia,93349500,32374768200,3482
2026-08-28,PC,FAC Sekuritas Indonesia,89002000,29001957900,4391
2026-08-28,GA,BNC Sekuritas Indonesia,42023000,21344724000,1363
2026-08-28,II,Danatama Makmur Sekuritas,47110600,20384870100,521
2026-08-28,ES,EKOKAPITAL SEKURITAS,35108900,19508161000,1082
2026-08-28,ZR,Bumiputera Sekuritas,19586400,19428226400,1091
2026-08-28,MI,Victoria Sekuritas Indonesia,51626300,19214803200,2764
2026-08-28,PO,Pilarmas Investindo Sekuritas,49304800,18985194600,1862
2026-08-28,IU,Indo Capital Sekuritas,73592200,18509785400,3283
2026-08-28,DU,KAF Sekuritas Indonesia,63429400,15414290300,2581
2026-08-28,EL,Evergreen Sekuritas Indonesia,21914000,14570239900,803
2026-08-28,TS,Dwidana Sakti Sekuritas,14343800,13594906000,640
2026-08-28,QA,Tuntun Sekuritas Indonesia,54689300,12725061800,4468
