date,broker_code,broker_name,volume,value,frequency
2026-08-14,XL,Stockbit Sekuritas Digital,10684759519,3356780270044,1083041
2026-08-14,AK,UBS Sekuritas Indonesia,3534459468,2565265532110,226769
2026-08-14,CC,MANDIRI SEKURITAS,4544139700,2158939685500,286710
2026-08-14,LG,Trimegah Sekuritas Indonesia Tbk.,1517216200,1484961769600,46768
2026-08-14,YP,Mirae Asset Sekuritas Indonesia,3972807200,1304738545000,232474
2026-08-14,YU,CGS International Sekuritas Indonesia,6659271626,1263349532430,73048
2026-08-14,ZP,Maybank Sekuritas Indonesia,2642015934,1146772765846,82778
2026-08-14,BK,J.P. Morgan Sekuritas Indonesia,633788360,966215874280,65051
2026-08-14,KI,Ciptadana Sekuritas Asia,8187831500,903790822600,14884
2026-08-14,PD,Indo Premier Sekuritas,1789488300,851185273600,137822
2026-08-14,XC,Ajaib Sekuritas Asia,1813342403,823804145490,199316
2026-08-14,CP,KB Valbury Sekuritas,2376627700,713525940100,106392
2026-08-14,MG,Semesta Indovest Sekuritas,2100415900,586269022100,77744
2026-08-14,NI,BNI Sekuritas,861953800,504566642300,64145
2026-08-14,SQ,BCA Sekuritas,905725336,503440850750,52731
2026-08-14,OD,BRI Danareksa Sekuritas,727274200,418561461300,58559
2026-08-14,AZ,Sucor Sekuritas,821888900,406461853200,45821
2026-08-14,KK,Phillip Sekuritas Indonesia,811372700,308308598300,53906
2026-08-14,KZ,CLSA Sekuritas Indonesia,177847400,304766028400,24044
2026-08-14,GR,PANIN SEKURITAS Tbk.,752874600,266087663400,26108
2026-08-14,DH,SINARMAS SEKURITAS,232772064,256383291632,15447
2026-08-14,BQ,Korea Investment and Sekuritas Indonesia,960483100,240951017600,49635
2026-08-14,EP,MNC Sekuritas,676677500,235627814100,64979
2026-08-14,TP,OCBC Sekuritas Indonesia,459856600,225914752900,12354
2026-08-14,HD,KGI Sekuritas Indonesia,628268600,213490401100,27849
2026-08-14,DR,RHB Sekuritas Indonesia,491231400,207660449200,32614
2026-08-14,YB,Yakin Bertumbuh Sekuritas,629009500,200822649400,38789
2026-08-14,IF,SAMUEL SEKURITAS INDONESIA,195548000,199814743200,12708
2026-08-14,XA,NH Korindo Sekuritas Indonesia,550169700,190153306800,31608
2026-08-14,RX,Macquarie Sekuritas Indonesia,104610300,184823415900,12520
2026-08-14,DX,Bahana Sekuritas,100405088,159696577250,10773
2026-08-14,HP,Henan Putihrai Sekuritas,278471700,145452921100,11583
2026-08-14,AI,Kay Hian Sekuritas,250595500,128840801200,8367
2026-08-14,YJ,Lotus Andalan Sekuritas,317230200,127758300000,13716
2026-08-14,AO,ERDIKHA ELIT SEKURITAS,478604500,119293885900,19132
2026-08-14,AG,Kiwoom Sekuritas Indonesia,273468500,115376813500,27848
2026-08-14,BB,Verdhana Sekuritas Indonesia,83053334,105744857230,18471
2026-08-14,CD,Mega Capital Sekuritas,181250416,100239515948,2572
2026-08-14,AT,Phintraco Sekuritas,233664400,77888908900,14686
2026-08-14,SH,Artha Sekuritas Indonesia,89959700,71117691700,8767
2026-08-14,BR,Trust Sekuritas,376679700,68307806400,13351
2026-08-14,SS,Supra Sekuritas Indonesia,85986800,67715237500,2882
2026-08-14,FZ,Waterfront Sekuritas Indonesia,194150300,50316862500,6228
2026-08-14,DP,DBS Vickers Sekuritas Indonesia,41395100,46850434400,3225
2026-08-14,RF,Buana Capital Sekuritas,60481000,37809878100,4715
2026-08-14,PC,FAC Sekuritas Indonesia,75549700,36830430200,5102
2026-08-14,RO,Pluang Maju Sekuritas,75225100,34966573100,6999
2026-08-14,LS,Reliance Sekuritas Indonesia Tbk.,77260200,34761724200,3742
2026-08-14,IN,INVESTINDO NUSANTARA SEKURITA,84553700,27537160200,2225
2026-08-14,FS,Yuanta Sekuritas Indonesia,55513400,25970372800,2578
2026-08-14,DU,KAF Sekuritas Indonesia,83152300,24340375100,2933
2026-08-14,IH,Indo Harvest Sekuritas,73557800,22457547400,4241
2026-08-14,IU,Indo Capital Sekuritas,119726700,22178857900,2917
2026-08-14,ZR,Bumiputera Sekuritas,32724300,18733098500,2047
2026-08-14,GA,BNC Sekuritas Indonesia,17798400,17503290000,665
2026-08-14,PG,Panca Global Sekuritas,75218900,15662665300,1862
2026-08-14,ES,EKOKAPITAL SEKURITAS,17353400,15501620200,1010
2026-08-14,RB,Ina Sekuritas Indonesia,22913700,14589428700,718
2026-08-14,PO,Pilarmas Investindo Sekuritas,41719700,13850751600,1316
2026-08-14,MU,Minna Padi Investama Sekuritas,121912000,12463760900,9895
2026-08-14,AR,Binaartha Sekuritas,45932500,12040550300,1650
2026-08-14,EL,Evergreen Sekuritas Indonesia,26129500,11799600500,1579
2026-08-14,RG,Profindo Sekuritas Indonesia,19664100,10044098800,630
2026-08-14,PI,Magenta Kapital Sekuritas Indonesia,27790100,9985210300,1822
2026-08-14,BS,Equity Sekuritas Indonesia,9945200,9704089400,777
2026-08-14,QA,Tuntun Sekuritas Indonesia,88756300,8822648100,3962
2026-08-14,SA,Elit Sukses Sekuritas,45694800,8760775800,2431
2026-08-14,PF,Danasakti Sekuritas Indonesia,23525000,7571527700,868
2026-08-14,GI,Webull Sekuritas Indonesia,20288200,6670175900,438
2026-08-14,MI,Victoria Sekuritas Indonesia,17727100,6493675900,727
2026-08-14,AP,Pacific Sekuritas Indonesia,9118038,6419430630,8
2026-08-14,SF,Surya Fajar Sekuritas,22753900,6131925100,1531
2026-08-14,IC,Integrity Capital Sekuritas,17358100,5891033500,305
2026-08-14,OK,NET SEKURITAS,2989500,4541114700,206
2026-08-14,ID,Anugerah Sekuritas Indonesia,14679600,4504075700,674
2026-08-14,AF,Harita Kencana Sekuritas,6327500,4022492300,398
2026-08-14,TS,Dwidana Sakti Sekuritas,2033300,3915866000,82
2026-08-14,AD,Sukadana Prima Sekuritas,24042800,3615335000,679
2026-08-14,RS,Yulie Sekuritas Indonesia Tbk.,7063900,2908793600,356
2026-08-14,BF,Inti Fikasa Sekuritas,4400000,2622600000,82
2026-08-14,PP,Aldiracita Sekuritas Indonesia,489900,2403500700,182
2026-08-14,TF,Laba Sekuritas Indonesia,5158100,1915435200,998
2026-08-14,II,Danatama Makmur Sekuritas,1698000,543038600,33
2026-08-14,IT,INTI TELADAN SEKURITAS,206100,531802500,31
2026-08-14,YO,Amantara Sekuritas Indonesia,1546000,407252000,59
2026-08-14,AH,Shinhan Sekuritas Indonesia,2915100,158806400,53
2026-08-14,DD,Makindo Sekuritas,59200,108610000,24
2026-08-14,FO,Forte Global Sekuritas,21000,10840000,3
