date,broker_code,broker_name,volume,value,frequency
2026-08-24,XL,Stockbit Sekuritas Digital,14879351146,4128023709650,1404765
2026-08-24,CC,MANDIRI SEKURITAS,5806408156,2988015421992,405637
2026-08-24,AK,UBS Sekuritas Indonesia,3342087182,2488752333150,271255
2026-08-24,ZP,Maybank Sekuritas Indonesia,2358774936,1448209923500,109417
2026-08-24,YP,Mirae Asset Sekuritas Indonesia,4472415000,1431508357200,282318
2026-08-24,PD,Indo Premier Sekuritas,2196105000,1240589152000,191831
2026-08-24,XC,Ajaib Sekuritas Asia,2620550100,1058498398500,275038
2026-08-24,YU,CGS International Sekuritas Indonesia,4315694334,939979119824,64713
2026-08-24,CP,KB Valbury Sekuritas,3441235986,876638047090,134823
2026-08-24,MG,Semesta Indovest Sekuritas,3196207800,829147996200,96385
2026-08-24,LG,Trimegah Sekuritas Indonesia Tbk.,1296936700,810112269700,45806
2026-08-24,BK,J.P. Morgan Sekuritas Indonesia,893448826,800138932716,63687
2026-08-24,DH,SINARMAS SEKURITAS,349988070,747736924620,19113
2026-08-24,SQ,BCA Sekuritas,1578425866,587018503050,59961
2026-08-24,AZ,Sucor Sekuritas,1244713600,572925470300,58836
2026-08-24,NI,BNI Sekuritas,1085276212,544058301904,82601
2026-08-24,OD,BRI Danareksa Sekuritas,1030866900,494410486400,75352
2026-08-24,AP,Pacific Sekuritas Indonesia,757006000,401214650000,307
2026-08-24,KK,Phillip Sekuritas Indonesia,999181100,345716803700,77294
2026-08-24,KZ,CLSA Sekuritas Indonesia,322412900,334354227400,24015
2026-08-24,GR,PANIN SEKURITAS Tbk.,670031100,315149438100,35349
2026-08-24,BB,Verdhana Sekuritas Indonesia,295041000,306759785800,35745
2026-08-24,TP,OCBC Sekuritas Indonesia,315182700,303243140800,21874
2026-08-24,XA,NH Korindo Sekuritas Indonesia,923830600,295674589100,43629
2026-08-24,BQ,Korea Investment and Sekuritas Indonesia,1185452000,292097949800,56214
2026-08-24,HD,KGI Sekuritas Indonesia,789300800,279077802000,37224
2026-08-24,EP,MNC Sekuritas,773750500,253220173900,53556
2026-08-24,PF,Danasakti Sekuritas Indonesia,328029800,252727330200,366
2026-08-24,DR,RHB Sekuritas Indonesia,714008600,248533478900,33612
2026-08-24,HP,Henan Putihrai Sekuritas,728044268,246180569700,10965
2026-08-24,SS,Supra Sekuritas Indonesia,2190743600,205432216700,6331
2026-08-24,RX,Macquarie Sekuritas Indonesia,57854652,199109048900,9158
2026-08-24,IF,SAMUEL SEKURITAS INDONESIA,302821000,196069542400,13830
2026-08-24,YB,Yakin Bertumbuh Sekuritas,608919200,189415242000,35649
2026-08-24,KI,Ciptadana Sekuritas Asia,456984900,182053715400,18989
2026-08-24,AG,Kiwoom Sekuritas Indonesia,581185700,168137959000,32613
2026-08-24,AO,ERDIKHA ELIT SEKURITAS,983172830,152812021446,39347
2026-08-24,AI,Kay Hian Sekuritas,310831700,147304751400,14172
2026-08-24,YJ,Lotus Andalan Sekuritas,356352400,120079492100,11452
2026-08-24,AT,Phintraco Sekuritas,332138900,93405505000,15508
2026-08-24,CD,Mega Capital Sekuritas,159052370,89875035300,3279
2026-08-24,DX,Bahana Sekuritas,89654200,80297368200,9039
2026-08-24,DP,DBS Vickers Sekuritas Indonesia,103008900,78596267300,6625
2026-08-24,FZ,Waterfront Sekuritas Indonesia,321385100,68752951800,8956
2026-08-24,RF,Buana Capital Sekuritas,51385400,63874517400,3286
2026-08-24,BR,Trust Sekuritas,146775600,57135321900,7484
2026-08-24,IN,INVESTINDO NUSANTARA SEKURITA,160045600,51209847500,4331
2026-08-24,FS,Yuanta Sekuritas Indonesia,108946700,44010252300,4284
2026-08-24,IH,Indo Harvest Sekuritas,69215500,43405290700,5039
2026-08-24,LS,Reliance Sekuritas Indonesia Tbk.,103808864,41084793460,6047
2026-08-24,RO,Pluang Maju Sekuritas,89276800,40601981000,9097
2026-08-24,PO,Pilarmas Investindo Sekuritas,90367200,34967377600,3984
2026-08-24,II,Danatama Makmur Sekuritas,62016500,34178523200,2787
2026-08-24,SH,Artha Sekuritas Indonesia,92450000,34106108400,3812
2026-08-24,PC,FAC Sekuritas Indonesia,91751400,30240827400,5393
2026-08-24,MU,Minna Padi Investama Sekuritas,83420700,22806904100,3349
2026-08-24,IU,Indo Capital Sekuritas,128148600,22321494100,3274
2026-08-24,MI,Victoria Sekuritas Indonesia,42844900,21698634300,2186
2026-08-24,RB,Ina Sekuritas Indonesia,22956924,20236291000,2456
2026-08-24,QA,Tuntun Sekuritas Indonesia,70952400,16608885200,4219
2026-08-24,ZR,Bumiputera Sekuritas,20689300,14751427300,1119
2026-08-24,DU,KAF Sekuritas Indonesia,163583300,13679747900,2433
2026-08-24,ES,EKOKAPITAL SEKURITAS,49418600,13506155500,1142
2026-08-24,PG,Panca Global Sekuritas,31574100,13450346300,1310
2026-08-24,GA,BNC Sekuritas Indonesia,35781500,12807074600,1432
2026-08-24,AR,Binaartha Sekuritas,42888000,12559075500,904
