date,broker_code,broker_name,volume,value,frequency
2026-08-24,EL,Evergreen Sekuritas Indonesia,14235600,11484378800,769
2026-08-24,TF,Laba Sekuritas Indonesia,10117700,10471137400,500
2026-08-24,SA,Elit Sukses Sekuritas,33834700,8979684500,2132
2026-08-24,RG,Profindo Sekuritas Indonesia,14316500,8932348700,1099
2026-08-24,GI,Webull Sekuritas Indonesia,22236600,7011668600,834
2026-08-24,SF,Surya Fajar Sekuritas,33792900,6069408800,1549
2026-08-24,PI,Magenta Kapital Sekuritas Indonesia,45466800,5877549800,1194
2026-08-24,BS,Equity Sekuritas Indonesia,18419600,5486860400,749
2026-08-24,AF,Harita Kencana Sekuritas,6224200,5029717500,463
2026-08-24,PP,Aldiracita Sekuritas Indonesia,600300,4821016400,353
2026-08-24,TS,Dwidana Sakti Sekuritas,2651500,4445349000,348
2026-08-24,ID,Anugerah Sekuritas Indonesia,10742000,3168509900,526
2026-08-24,RS,Yulie Sekuritas Indonesia Tbk.,4115600,3142629200,274
2026-08-24,IT,INTI TELADAN SEKURITAS,2714000,2295108000,543
2026-08-24,OK,NET SEKURITAS,3116800,1682629500,247
2026-08-24,BF,Inti Fikasa Sekuritas,3471900,1638041900,87
2026-08-24,AD,Sukadana Prima Sekuritas,4142700,1443620900,267
2026-08-24,YO,Amantara Sekuritas Indonesia,1551700,682643000,98
2026-08-24,DD,Makindo Sekuritas,190000,516777500,60
2026-08-24,AH,Shinhan Sekuritas Indonesia,1409100,407006900,81
2026-08-24,IC,Integrity Capital Sekuritas,540000,252260000,91
2026-08-24,FO,Forte Global Sekuritas,5032000,59215000,30
