date,broker_code,broker_name,volume,value,frequency
2026-08-26,XL,Stockbit Sekuritas Digital,17535428654,5040112334672,1657419
2026-08-26,AK,UBS Sekuritas Indonesia,4666272928,3322788373030,294036
2026-08-26,CC,MANDIRI SEKURITAS,6318846090,3223962619900,447777
2026-08-26,DH,SINARMAS SEKURITAS,1886970448,2256187445678,22962
2026-08-26,ZP,Maybank Sekuritas Indonesia,3022063510,1805072514442,141786
2026-08-26,YP,Mirae Asset Sekuritas Indonesia,5012610500,1791089419000,337130
2026-08-26,PD,Indo Premier Sekuritas,2612190900,1561730735500,217633
2026-08-26,SS,Supra Sekuritas Indonesia,1502615600,1375645517500,4941
2026-08-26,YU,CGS International Sekuritas Indonesia,7294185554,1336095962278,80186
2026-08-26,CP,KB Valbury Sekuritas,3870869200,1084567892100,134961
2026-08-26,XC,Ajaib Sekuritas Asia,2745034000,1073447327500,303212
2026-08-26,SQ,BCA Sekuritas,2382085466,922165164100,78712
2026-08-26,BK,J.P. Morgan Sekuritas Indonesia,832297994,807894071200,63098
2026-08-26,MG,Semesta Indovest Sekuritas,2563235070,797147185370,97788
2026-08-26,LG,Trimegah Sekuritas Indonesia Tbk.,1150105876,734398061500,55809
2026-08-26,NI,BNI Sekuritas,1115466400,680260332500,95650
2026-08-26,AZ,Sucor Sekuritas,1379328300,575993051800,59964
2026-08-26,OD,BRI Danareksa Sekuritas,1116798000,561448170700,87871
2026-08-26,BB,Verdhana Sekuritas Indonesia,317582200,556781761340,63159
2026-08-26,KK,Phillip Sekuritas Indonesia,1171606100,451260476700,82477
2026-08-26,KZ,CLSA Sekuritas Indonesia,202286100,450363055000,39902
2026-08-26,GR,PANIN SEKURITAS Tbk.,1074821300,439405377800,51433
2026-08-26,HD,KGI Sekuritas Indonesia,1059754700,368765136100,46406
2026-08-26,AP,Pacific Sekuritas Indonesia,600090390,362481436330,208
2026-08-26,KI,Ciptadana Sekuritas Asia,1459932900,361709012900,28787
2026-08-26,XA,NH Korindo Sekuritas Indonesia,970269600,321160767900,46061
2026-08-26,YB,Yakin Bertumbuh Sekuritas,1004918632,293323497264,49820
2026-08-26,BQ,Korea Investment and Sekuritas Indonesia,1051883500,281685620300,62506
2026-08-26,DR,RHB Sekuritas Indonesia,806728200,266099229600,41640
2026-08-26,EP,MNC Sekuritas,838767000,261766978100,58066
2026-08-26,TP,OCBC Sekuritas Indonesia,431245100,257947162800,19932
2026-08-26,RX,Macquarie Sekuritas Indonesia,158782654,244537311630,13505
2026-08-26,AG,Kiwoom Sekuritas Indonesia,519933100,197112665800,19662
2026-08-26,IF,SAMUEL SEKURITAS INDONESIA,251918300,192587813700,13325
2026-08-26,HP,Henan Putihrai Sekuritas,272560556,190832875200,12188
2026-08-26,AI,Kay Hian Sekuritas,536726500,177201688600,16085
2026-08-26,YJ,Lotus Andalan Sekuritas,352898900,144140591800,13838
2026-08-26,DX,Bahana Sekuritas,122321000,126398482400,12814
2026-08-26,CD,Mega Capital Sekuritas,129088800,116245273100,3773
2026-08-26,AO,ERDIKHA ELIT SEKURITAS,491612600,110253641800,21830
2026-08-26,AT,Phintraco Sekuritas,226292300,78324289800,15980
2026-08-26,RF,Buana Capital Sekuritas,227661600,71292790800,3589
2026-08-26,BR,Trust Sekuritas,201202466,63808433710,9112
2026-08-26,FZ,Waterfront Sekuritas Indonesia,228962800,63142978300,9057
2026-08-26,LS,Reliance Sekuritas Indonesia Tbk.,158029866,58461909950,6275
2026-08-26,IN,INVESTINDO NUSANTARA SEKURITA,160776000,49394902600,5601
2026-08-26,RO,Pluang Maju Sekuritas,119073300,47647599100,9913
2026-08-26,DP,DBS Vickers Sekuritas Indonesia,92270700,46874751300,3492
2026-08-26,PC,FAC Sekuritas Indonesia,128012300,45493579400,6507
2026-08-26,PO,Pilarmas Investindo Sekuritas,96923800,39581574100,2589
2026-08-26,FS,Yuanta Sekuritas Indonesia,97594300,37486974800,3506
2026-08-26,MI,Victoria Sekuritas Indonesia,31121000,29191307200,1929
2026-08-26,ZR,Bumiputera Sekuritas,35069100,26195463300,1670
2026-08-26,IH,Indo Harvest Sekuritas,84550200,25149331200,5254
2026-08-26,RB,Ina Sekuritas Indonesia,147818390,24348966980,764
2026-08-26,IU,Indo Capital Sekuritas,135902400,23972576100,4298
2026-08-26,II,Danatama Makmur Sekuritas,46609400,23184613100,1666
2026-08-26,SH,Artha Sekuritas Indonesia,73938100,22248890800,2933
2026-08-26,ES,EKOKAPITAL SEKURITAS,27642100,21991542100,993
2026-08-26,AR,Binaartha Sekuritas,176355200,21442314800,2009
2026-08-26,PG,Panca Global Sekuritas,71337800,21273037700,2148
2026-08-26,DU,KAF Sekuritas Indonesia,94817500,19052468600,2755
2026-08-26,MU,Minna Padi Investama Sekuritas,172996800,16039601600,3737
2026-08-26,QA,Tuntun Sekuritas Indonesia,102273700,14825254100,4528
2026-08-26,GA,BNC Sekuritas Indonesia,21546200,13416246000,787
2026-08-26,BS,Equity Sekuritas Indonesia,10867000,12662961200,557
2026-08-26,EL,Evergreen Sekuritas Indonesia,23639400,11428701900,999
2026-08-26,TF,Laba Sekuritas Indonesia,21917400,11423310200,702
2026-08-26,RG,Profindo Sekuritas Indonesia,20454900,11136503700,1201
2026-08-26,PI,Magenta Kapital Sekuritas Indonesia,29894400,10239221700,5105
2026-08-26,TS,Dwidana Sakti Sekuritas,16433600,10035173200,484
2026-08-26,ID,Anugerah Sekuritas Indonesia,25405800,9848164500,1488
2026-08-26,SA,Elit Sukses Sekuritas,49059800,9638486500,1704
2026-08-26,GI,Webull Sekuritas Indonesia,24819800,8837708000,2120
2026-08-26,PF,Danasakti Sekuritas Indonesia,30329100,8236295300,731
2026-08-26,PP,Aldiracita Sekuritas Indonesia,1232700,8105654000,433
2026-08-26,SF,Surya Fajar Sekuritas,32013500,7294223300,1707
2026-08-26,AD,Sukadana Prima Sekuritas,16656600,4767626400,719
2026-08-26,RS,Yulie Sekuritas Indonesia Tbk.,11965700,4270622800,864
2026-08-26,OK,NET SEKURITAS,5344700,4004179000,263
2026-08-26,AF,Harita Kencana Sekuritas,9114900,3317561500,392
2026-08-26,AH,Shinhan Sekuritas Indonesia,7415600,3050788100,584
2026-08-26,BF,Inti Fikasa Sekuritas,25310000,2810500000,291
2026-08-26,IC,Integrity Capital Sekuritas,9662000,2173366500,245
2026-08-26,IT,INTI TELADAN SEKURITAS,2201900,1070195900,117
2026-08-26,YO,Amantara Sekuritas Indonesia,1675000,565695000,33
2026-08-26,DD,Makindo Sekuritas,682000,251445600,41
2026-08-26,FO,Forte Global Sekuritas,2988500,49180000,24
