ticker,sector_name,subsector_name,industry_name,subindustry_name
COWL,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CPIN,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
CPRI,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CPRO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
CRAB,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
CRSN,Perindustrian,Jasa Perindustrian,Jasa Profesional,Jasa Penelitian & Konsultasi
CSAP,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga
CSIS,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CSMI,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan
CSRA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
CTBN,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi
CTRA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CTTH,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
CUAN,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
CYBR,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
DAAZ,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya
DADA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
DART,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
DATA,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel
DAYA,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan
DCII,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
DEAL,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
DEFI,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Investasi
DEPO,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga
DEWA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
DEWI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
DFAM,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
DGIK,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
DGNS,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
DGWG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Pertanian
DIGI,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penerbitan
DILD,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
DIVA,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
DKFT,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya
DKHH,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
DLTA,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Keras
DMAS,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
DMMX,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
DMND,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan
DNAR,Keuangan,Bank,Bank,Bank
DNET,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Investasi
DOID,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
DOOH,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan
DOSS,Barang Konsumen Non-Primer,Barang Rekreasi,Barang Elektronik Konsumen,Barang Elektronik Konsumen
DPNS,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus
DPUM,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
DRMA,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
DSFI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
DSNG,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
DSSA,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
DUCK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan
DUTI,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
DVLA,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi
DWGL,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
DYAN,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis
EAST,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
ECII,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik
EDGE,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Jasa & Konsultan TI
EKAD,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus
ELIT,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
ELPI,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
EMMI,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Peralatan Kesehatan
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas"
ESIP,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
ESSA,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
ESTA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
ESTI,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil
ETWA,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
EURO,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh
EXCL,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
FAPA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
FAST,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan
FASW,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
FILM,Barang Konsumen Non-Primer,Media & Hiburan,Hiburan & Film,Hiburan & Film
FIMP,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
FIRE,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
FISH,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
FITT,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
FLMC,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh
FMII,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
FOLK,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
FOOD,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
FORE,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan
FORU,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan
FPNI,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
FUJI,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen
FUTR,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan
FWCT,Barang Baku,Barang Baku,Perhutanan & Kertas,Kayu
GAMA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
GDST,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi
GDYR,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban
GEMA,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah
GEMS,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
GGRM,Barang Konsumen Primer,Rokok,Rokok,Rokok
GGRP,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi
GHON,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
GIAA,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,Maskapai Penerbangan
GJTL,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban
GLOB,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik
GLVA,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik
GMFI,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Bandar Udara
GMTD,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
GOLD,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
GOLF,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
GOLL,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
GOOD,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
GOTO,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
GPRA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
GPSO,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian
GRIA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
GRPH,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
GRPM,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan
GSMF,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
GTBO,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
GTRA,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
GTSI,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
GULA,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
GUNA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
GWSA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
GZCO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
HADE,Infrastruktur,Utilitas,Utilitas Gas,Utilitas Gas
HAIS,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
HAJJ,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Agen Perjalanan
HALO,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan
HATM,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
HBAT,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
HDFA,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen
HDIT,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
HEAL,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
HELI,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,Maskapai Penerbangan
HERO,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Supermarket
HEXA,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat
HGII,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik
HILL,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
HITS,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
HKMU,Barang Baku,Barang Baku,Logam & Mineral,Alumunium
HMSP,Barang Konsumen Primer,Rokok,Rokok,Rokok
HOKI,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
HOME,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
HOMI,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
HOPE,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat
HOTL,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
HRME,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
HRTA,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas"
HRUM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
HUMI,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
HYGN,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pengelolaan Lingkungan & Sarana
IATA,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
IBFN,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat
IBOS,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
IBST,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
ICBP,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
ICON,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis
IDEA,Barang Konsumen Non-Primer,Jasa Konsumen,Pendidikan & Jasa Penunjang,Jasa Pendidikan
IDPR,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
IFII,Barang Baku,Barang Baku,Perhutanan & Kertas,Kayu
IFSH,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya
IGAR,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
IIKP,Barang Konsumen Non-Primer,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi
IKAI,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
IKAN,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
IKBI,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan
IKPM,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi
IMAS,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif
IMJS,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan
IMPC,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
INAF,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi
INAI,Barang Baku,Barang Baku,Logam & Mineral,Alumunium
INCF,Barang Baku,Barang Baku,Perhutanan & Kertas,Produk Hutan Lainnya
INCI,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
INCO,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya
INDF,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
INDO,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Jasa Real Estat
INDR,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil
INDS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
INDX,Perindustrian,Jasa Perindustrian,Jasa Profesional,Jasa Penelitian & Konsultasi
INDY,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
INET,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel
INKP,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas
INOV,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil
INPC,Keuangan,Bank,Bank,Bank
INPP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
INPS,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
INRU,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas
INTA,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat
INTD,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas
INTP,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi
IOTF,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik
IPAC,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
IPCC,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Pelabuhan
IPCM,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Pelabuhan
IPOL,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
IPPE,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
IPTV,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penyiaran Berbayar
IRRA,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan
IRSX,Teknologi,Perangkat Lunak & Jasa TI,Perangkat Lunak,Perangkat Lunak
ISAP,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
ISAT,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
ISEA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
ISSP,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi
ITIC,Barang Konsumen Primer,Rokok,Rokok,Rokok
ITMA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
ITMG,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
JARR,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
JAST,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel
JATI,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
JAWA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
JAYA,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
JECC,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan
JECX,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
JELI,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
JGLE,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
JIHD,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
JKON,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
JMAS,Keuangan,Asuransi,Asuransi,Asuransi Jiwa
JPFA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
JRPT,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
JSKY,Energi,Energi Alternatif,Peralatan Energi Alternatif,Peralatan Energi Alternatif
JSMR,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Jalan Tol & Rel
JSPT,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
JTPE,Perindustrian,Jasa Perindustrian,Jasa Komersial,Percetakan Komersial
KAEF,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi
KAQI,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
KARW,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Pelabuhan
KAYU,Barang Baku,Barang Baku,Perhutanan & Kertas,Kayu
KBAG,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
KBLI,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan
KBLM,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan
KBLV,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel
KBRI,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas
KDSI,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
KDTN,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
KEEN,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik
KEJU,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan
KETR,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel
KIAS,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
KICI,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Perlengkapan Rumah Tangga
KIJA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
KING,Perindustrian,Jasa Perindustrian,Jasa Profesional,Jasa Personalia
KINO,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh
KIOS,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
KJEN,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
KKES,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
KKGI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
KLAS,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
KLBF,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi
KLIN,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga
KMDS,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan
KMTR,Barang Baku,Barang Baku,Perhutanan & Kertas,Produk Hutan Lainnya
KOBX,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat
KOCI,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
KOIN,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
KOKA,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
KONI,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor
KOPI,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
KOTA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
KPIG,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
